,0
0,62860f988b4fd511008b457f
1,6286106f8b4fd513008b4571
2,6286104f8b4fd512008b4596
3,6286104c8b4fd512008b4595
4,62860f1b8b4fd51c008b457e
5,62860fb08b4fd511008b4589
6,62860e788b4fd515008b456e
7,62860f418b4fd51c008b458e
8,62860ee38b4fd51c008b4567
9,62860f088b4fd51c008b4576
10,628610128b4fd512008b457e
11,62860f7f8b4fd511008b4575
12,62860f9a8b4fd511008b4580
13,6286101d8b4fd512008b4582
14,628610218b4fd512008b4584
15,62860eb78b4fd515008b4588
16,62860fb98b4fd511008b458d
17,6286105b8b4fd513008b4569
18,62860ea38b4fd515008b4580
19,62860e958b4fd515008b457a
20,628610588b4fd513008b4568
21,628610328b4fd512008b458b
22,62860f468b4fd51c008b4590
23,62860f538b4fd51c008b4595
24,62860f918b4fd511008b457c
25,62860f258b4fd51c008b4582
26,6286100b8b4fd512008b457b
27,62860f0a8b4fd51c008b4577
28,62860e928b4fd515008b4579
29,62860f278b4fd51c008b4583
30,628610008b4fd512008b4576
31,62860edc8b4fd515008b4597
32,628610398b4fd512008b458e
33,62860f558b4fd51c008b4596
34,62860fcc8b4fd511008b4594
35,62860f5e8b4fd511008b4568
36,62860fe38b4fd512008b456a
37,62860fe68b4fd512008b456b
38,62860fa48b4fd511008b4584
39,62860e8b8b4fd515008b4576
40,62860ffb8b4fd512008b4574
41,62860f388b4fd51c008b458a
42,6286103f8b4fd512008b4590
43,62860f958b4fd511008b457e
44,62860eb18b4fd515008b4586
45,628610378b4fd512008b458d
46,62860fab8b4fd511008b4587
47,62860fa88b4fd511008b4586
48,62860ef68b4fd51c008b456f
49,628610158b4fd512008b457f
50,628610308b4fd512008b458a
51,62860f4b8b4fd51c008b4592
52,628610298b4fd512008b4587
53,62860fdb8b4fd512008b4567
54,62860fd18b4fd511008b4596
55,62860e908b4fd515008b4578
56,62860f6f8b4fd511008b456e
57,62860ff68b4fd512008b4572
